auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,f2_mean,f2_std,n_valid_folds,avg_threshold,coin,technique,model
0.9911808669656204,0.019720180967486924,0.9399171004434163,0.13434944769381327,0.5190476190476191,0.19518001458970666,1.0,0.0,0.6672727272727272,0.15740666918568674,0.5678852571232994,0.18541224066108886,5,0.9969044923782349,USDC,Thresh_F2,XGB
0.9960172941812286,0.0016150272838871221,0.9390014229764274,0.022289090374253195,0.8178461538461539,0.06510437682411839,0.8885254515599342,0.0704960114875779,0.8477135711104259,0.01607057624763507,0.8286086232301877,0.04121808202128201,5,0.5,DAI,Baseline,RF
0.9960403530895334,0.0015345371600826562,0.9413189543452093,0.020220167326091436,0.803076923076923,0.12045279465269774,0.8569745731850993,0.02709332012727478,0.8249117100574901,0.0674082858780846,0.8108116310093368,0.10009884307264164,5,0.5,DAI,Baseline,XGB
0.9944831561880741,0.000633353887804272,0.9221543250440203,0.012310855279863244,0.8495384615384616,0.04179974802449465,0.807176245210728,0.05002223782867739,0.8265338517280802,0.02785434801365725,0.8398569407361682,0.03136977488430307,5,0.5,DAI,WeightOnly,RF
0.9958357052783283,0.00154635261265119,0.9389042321634943,0.020208830534111814,0.8815384615384616,0.0608616629072384,0.7987871387871387,0.02841865077502564,0.8373901570127984,0.035913741871180856,0.863132192610539,0.049386232101169776,5,0.5,DAI,WeightOnly,XGB
0.9957823815528734,0.0014755750172202643,0.9316091354475159,0.025893264612672558,0.8812307692307693,0.038529171304611795,0.8163411197626994,0.07841396654072388,0.8452875070363575,0.04025827713706627,0.8658915832250047,0.029574019776521167,5,0.5,DAI,SMOTE_03,RF
0.9956786164655018,0.001006790800459945,0.937278113031628,0.01491666209689658,0.8575384615384616,0.08170954475544463,0.7971600436340969,0.039068906222078995,0.8234088460559048,0.03037605456417063,0.8428044767978813,0.058576687570486195,5,0.5,DAI,SMOTE_03,XGB
0.9957629255989913,0.0014137636894465573,0.9344217845005914,0.024190596842781915,0.8972307692307693,0.0437637552340901,0.8025120167189133,0.07225140741551557,0.8443019512228437,0.02658206404569661,0.8744594760604553,0.021519000306363497,5,0.5,DAI,SMOTE_05,RF
0.9960331471806881,0.0015273892289233344,0.9416347592713,0.0227562102019908,0.8975384615384616,0.06420750384725958,0.7822746071133168,0.04535641833517943,0.833937105206455,0.028616615298889186,0.8703966940608161,0.04501695652564876,5,0.5,DAI,SMOTE_05,XGB
0.9954804539722572,0.0009632146736171094,0.9339882557553846,0.019269958325973488,0.9132307692307693,0.04130418263273805,0.7667520651391619,0.06391052906186788,0.8312393202113435,0.027982978458273793,0.8778742469613553,0.023441716182765217,5,0.5,DAI,SMOTE_07,RF
