Date,Y_actual,P_depeg_oof,P_depeg_full,level
2020-04-13,0,0.00034376472467556596,0.00049716467,Normal
2020-04-14,0,0.0005085812299512327,0.00042022273,Normal
2020-04-15,0,0.0006843963637948036,0.0003850598,Normal
2020-04-16,0,0.002026645466685295,0.0022311183,Caution
2020-04-17,0,0.0008770883432589471,0.00044007655,Normal
2020-04-18,0,0.0012118355371057987,0.000429007,Normal
2020-04-19,0,0.0010817714501172304,0.0004938455,Normal
2020-04-20,0,0.0009940568124875426,0.00052726903,Normal
2020-04-21,0,0.0010108270216733217,0.0008323574,Caution
2020-04-22,0,0.0010504764504730701,0.0006310296,Normal
2020-04-23,0,0.008847936056554317,0.0018428672,Caution
2020-04-24,0,0.003555462695658207,0.0027062497,Caution
2020-04-25,0,0.012551733292639256,0.004631149,Caution
2020-04-26,0,0.0030795172788202763,0.0017555602,Caution
2020-04-27,0,0.0011095484951511025,0.00048561272,Normal
2020-04-28,0,0.0012161459308117628,0.0007139858,Normal
2020-04-29,0,0.0011129354825243354,0.0012579658,Caution
2020-04-30,0,0.0009492411045357585,0.00091423735,Caution
2020-05-01,0,0.0002983968297485262,0.0002831071,Normal
2020-05-02,0,0.000385926163289696,0.0002799869,Normal
2020-05-03,0,0.0003466960624791682,0.0003123215,Normal
